SCH,OD,5,5s,10,10s,20,30,40,40s,60,80,80s,100,120,140,160,STD,XS,XXS
0+1/8,10.3,N/A,N/A,N/A,1.24,N/A,N/A,N/A,1.73,N/A,N/A,2.41,N/A,N/A,N/A,N/A,1.24,1.24,N/A
0+1/4,13.7,N/A,1.2,1.65,1.65,N/A,1.85,2.24,2.24,N/A,3.02,3.02,N/A,N/A,N/A,N/A,2.24,3.02,N/A
0+3/8,17.1,N/A,1.2,1.65,1.65,N/A,1.85,2.31,2.31,N/A,3.2,3.2,N/A,N/A,N/A,N/A,2.31,3.2,N/A
0+1/2,21.3,1.65,1.65,2.11,2.11,N/A,2.41,2.77,2.77,N/A,3.73,3.73,N/A,N/A,N/A,4.78,2.77,3.73,7.47
0+3/4,26.7,1.65,1.65,2.11,2.11,N/A,2.41,2.87,2.87,N/A,3.91,3.91,N/A,N/A,N/A,5.56,2.87,3.91,7.82
1,33.4,1.65,1.65,2.77,2.77,N/A,2.9,3.38,3.38,N/A,4.55,4.55,N/A,N/A,N/A,6.35,3.38,4.55,9.09
1+1/4,42.2,1.65,1.65,2.77,2.77,N/A,2.97,3.56,3.56,N/A,4.85,4.85,N/A,N/A,N/A,6.35,3.56,4.85,9.7
1+1/2,48.3,1.65,1.65,2.77,2.77,N/A,3.18,3.68,3.68,N/A,5.08,5.08,N/A,N/A,N/A,7.14,3.68,5.08,10.15
2,60.3,1.65,1.65,2.77,2.77,N/A,3.18,3.91,3.91,N/A,5.54,5.54,N/A,N/A,N/A,8.74,3.91,5.54,11.07
2+1/2,73,2.11,2.11,3.05,3.05,N/A,4.78,5.16,5.16,N/A,7.01,7.01,N/A,N/A,N/A,9.53,5.16,7.01,14.02
3,88.9,2.11,2.11,3.05,3.05,N/A,4.78,5.49,5.49,N/A,7.62,7.62,N/A,N/A,N/A,11.13,5.49,7.62,15.24
3+1/2,101.6,2.11,2.11,3.05,3.05,N/A,4.78,5.74,5.74,N/A,8.08,8.08,N/A,N/A,N/A,N/A,5.74,8.08,N/A
4,114.3,2.11,2.11,3.05,3.05,N/A,4.78,6.02,6.02,N/A,8.56,8.56,N/A,11.13,N/A,13.49,6.02,8.56,17.12
5,141.3,2.77,2.77,3.4,3.4,N/A,N/A,6.55,6.55,N/A,9.53,9.53,N/A,12.7,N/A,15.88,6.55,9.53,19.05
6,168.3,2.77,2.77,3.4,3.4,N/A,N/A,7.11,7.11,N/A,10.97,10.97,N/A,14.27,N/A,18.26,7.11,10.97,21.95
8,219.1,2.77,2.77,3.76,3.76,6.35,7.04,8.18,8.18,10.31,12.7,12.7,15.09,18.26,20.62,23.01,8.18,12.7,22.23
10,273,3.4,3.4,4.19,4.19,6.35,7.8,9.27,9.27,12.7,15.09,12.7,18.26,21.44,25.4,28.58,9.27,12.7,25.4
12,323.8,3.96,3.96,4.57,4.57,6.35,8.38,10.31,9.53,14.27,17.48,12.7,21.44,25.4,28.58,33.32,9.53,12.7,25.4
14,355.6,3.96,3.96,6.35,4.78,7.92,9.53,11.13,9.53,15.09,19.05,12.7,23.83,27.79,31.75,35.71,9.53,12.7,N/A
16,406.4,4.19,4.19,6.35,4.78,7.92,9.53,12.7,9.53,16.66,21.44,12.7,26.19,30.96,36.53,40.49,9.53,12.7,N/A
18,457,4.19,4.19,6.35,4.78,7.92,11.13,14.27,9.53,19.05,23.83,12.7,29.36,34.93,39.67,45.24,9.53,12.7,N/A
20,508,4.78,4.78,6.35,5.54,9.53,12.7,15.09,9.53,20.62,26.19,12.7,32.54,38.1,44.45,50.01,9.53,12.7,N/A
22,559,4.78,4.78,6.35,5.54,9.53,12.7,N/A,N/A,22.23,28.58,12.7,34.93,41.28,47.63,53.98,9.53,12.7,N/A
24,610,5.54,5.54,6.35,6.35,9.53,14.27,17.48,9.53,24.61,30.96,12.7,38.89,46.02,52.37,59.54,9.53,12.7,N/A
26,660,N/A,N/A,7.92,N/A,12.7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.53,12.7,N/A
28,711,N/A,N/A,7.92,N/A,12.7,15.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.53,12.7,N/A
30,762,6.35,6.35,7.92,7.92,12.7,15.88,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.53,12.7,N/A
32,813,N/A,N/A,7.92,N/A,12.7,15.88,17.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.53,12.7,N/A
34,864,N/A,N/A,7.92,N/A,12.7,15.88,17.48,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.53,12.7,N/A
36,914,N/A,N/A,7.92,N/A,12.7,15.88,19.05,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.53,12.7,N/A
38,965,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.53,12.7,N/A
40,1016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.53,12.7,N/A
42,1067,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.53,12.7,N/A
44,1118,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.53,12.7,N/A
46,1168,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.53,12.7,N/A
48,1219,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.53,12.7,N/A
